question,contexts,ground_truth,answer
"Если я из другой страны и у меня нет паспорта РФ, что мне делать?","['\n                     1. Документы и сведения, получаемые в целях идентификации Клиентов-физических лиц, а также в целях обслуживания таких Клиентов в рамках Универсального договора\n                     1.4. Реквизиты документа, удостоверяющего личность: серия (при наличии) и номер документа, дата выдачи документа, наименование органа, выдавшего документ (при наличии кода подразделения может не устанавливаться), и код подразделения (при наличии).\n                     1.4.2.для иностранных граждан:\n                     •паспорт иностранного гражданина;\n                     •дипломатический паспорт, служебный паспорт, удостоверяющие личность иностранного гражданина.', '.5.Документ, подтверждающий право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации (миграционной карты в случае отсутствия иных документов), в случае если наличие таких документов обязательно в соответствии с международными договорами Российской Федерации и законодательством Российской Федерации;Документами, подтверждающими право иностранного гражданина или лица без гражданства на пребывание (проживание) в РФ, являются:\n                    •миграционная карта в случае отсутствия иных документов;\n                    •вид на жительство;\n                    •разрешение на временное проживание;\n                    •виза;\n                    •иной документ, подтверждающий в соответствии с международными договорами Российской Федерации и законодательством РФ право иностранного гражданина или лица без гражданства на пребывание (проживание) в РФ.\n']","
                        Если вы из другой страны, то для заключения договора вам неообходимы документы, удостоверяющие Вашу личность. Для иностранных граждан это:
                            •паспорт иностранного гражданина;
                            •дипломатический паспорт, служебный паспорт, удостоверяющие личность иностранного гражданина.
                        Также необходимы документы, подтверждающие право иностранного гражданина (проживание) в Российской Федерации (миграционной карты в случае отсутствия иных документов), в случае если наличие таких документов обязательно в соответствии с международными договорами Российской Федерации и законодательством Российской Федерации;Документами, подтверждающими право иностранного гражданина или лица без гражданства на пребывание (проживание) в РФ, являются:
                            •миграционная карта в случае отсутствия иных документов;
                            •вид на жительство;
                            •разрешение на временное проживание;
                            •виза;
                            •иной документ, подтверждающий в соответствии с международными договорами Российской Федерации и законодательством РФ право иностранного гражданина или лица без гражданства на пребывание (проживание) в РФ. ","Если вы находитесь в другой стране и у вас нет паспорта РФ, вам необходимо сообщить об этом в банк посредством дистанционного обслуживания и оформить претензию. Сотрудник банка поможет вам в этом процессе. Пожалуйста, обратитесь в банк для получения более подробной информации и инструкций по дальнейшим действиям."
В течении скольких дней действительна выписка из ЕГРЮЛ?,"['\n                    2.2. Выписка из Единого государственного реестра юридических лиц (ЕГРЮЛ). Банком может быть принята копия \n                    выписки, заверенная регистрирующим органом. Выписка считается действительной для предоставления в Банк \n                    в течение 30 (тридцати) календарных дней с даты ее выдачи и должна содержать актуальные сведения на дату  \n                    ее предоставления;']",Выписка из Единого государственного реестра юридических лиц (ЕГРЮЛ) действительна в течении 30 дней с даты ее выдачи.,Ответ: Выписка из ЕГРЮЛ считается действительной для предоставления в банк Tinkoff в течение 30 (тридцати) календарных дней с даты ее выдачи.
Нужно ли ИП указывать свой сайт для предприятия?,"['\n                    3. Документы и сведения, предоставляемые Клиентом-индивидуальным предпринимателем: \n                    3.5. Сведения о доменном имени, указателе страницы сайта в сети «Интернет», с использованием которых Клиентом \nоказываются услуги (при наличии);\n                    ']","Да, индивидуальному предпринимателю необходимо указать сведения о доменном имени, указателе страницы сайта в сети «Интернет».","Для юридических лиц и ИП, осуществляющих деятельность через сайт в сети ""Интернет"", требуется предоставить информацию о доменном имени и указателе страницы сайта. Поэтому, если ИП использует свой сайт для предприятия, то в соответствии с перечнем документов и сведений, необходимо предоставить информацию о доменном имени и указателе страницы сайта в сети ""Интернет"". Таким образом, для открытия банковского счета в банке Tinkoff важно указать информацию о сайте предприятия, если он используется в рамках деятельности."
Может ли Банк запросить дополнительные документы - не из списка обязательных?,"['\n                     26. Банк может запросить у Клиента, а Клиент обязуется предоставить по запросу Банка дополнительные документы \n                    и сведения, как предусмотренные, так и не предусмотренные настоящим Перечнем, в том числе в целях надлежащей \n                    идентификации Клиента, его представителя, выгодоприобретателя и бенефициарного владельца в соответствии \n                    с требованиями действующего законодательства Российской Федерации, нормативных актов Банка России, а также \n                    требованиями Банка. Банк вправе не запрашивать отдельные документы и сведения, предусмотренные настоящим \n                    Перечнем, в случаях, установленных внутренними правилами Банка.']","Да, Банк может запросить у Вас дополнительные не предусмотренные Перечнем документы.","Да, Банк имеет право запросить у Клиента дополнительные документы и сведения, как предусмотренные, так и не предусмотренные обязательным списком. Это может быть необходимо для надлежащей идентификации Клиента, его представителя, выгодоприобретателя и бенефициарного владельца в соответствии с законодательством и требованиями Банка. Банк вправе не запрашивать отдельные документы, предусмотренные обязательным списком, в случаях, установленных внутренними правилами Банка. Если у Клиента нет возможности предоставить определенный документ, то представление письма с пояснениями о причинах невозможности его предоставления может быть рассмотрено. В случае обоснованного отсутствия документов, Клиент может предоставить альтернативные источники информации для подтверждения своей деловой репутации."
Какие документы нужно предоставить физическому лицу для открытия счета?,"['1. Документы и сведения, получаемые в целях идентификации Клиентов-физических лиц, а также в целях обслуживания таких Клиентов в рамках Универсального договора']","Физическому лицу для открытия счета необходимо предоставить документ, удостоверяющий личность (паспорт или иной документ из списка в п.1.4), документ, подтверждающий регистрацию или место пребывания, ИНН, СНИЛС и контактную информацию.","Для открытия счета в банке Tinkoff физическому лицу необходимо предоставить следующие документы и сведения:

1. Сведения и документы, зависящие от организационно-правовой формы физического лица, включая информацию о договорах с банковскими агентами, платежными агентами и другими организациями.
2. Документы и сведения, предоставляемые для открытия номинального счета, включая документы-основания участия бенефициара.
3. Идентификационные документы, такие как удостоверение личности, в случае иностранных граждан - документы, подтверждающие право на пребывание в Российской Федерации.
4. Дополнительные документы и сведения, если физическое лицо занимается частной практикой и является иностранным гражданином.
5. Документы, указанные в перечне для открытия специального банковского счета, с учетом требований законодательства РФ.

Если у вас остались дополнительные вопросы или нужна более подробная информация, рекомендуем обратиться в банк Tinkoff для получения конкретных инструкций и требований."
Какие документы необходимо предоставить юридическому лицу для открытия счета в Банке? Можно ли предоставить сканы документов или нужны оригиналы?,"['2.1. Учредительные документы юридического лица...', '2.2. Выписка из Единого государственного реестра юридических лиц (ЕГРЮЛ)...', '2.3. Документ об избрании единоличного исполнительного органа юридического лица...']","Юридическому лицу необходимо предоставить учредительные документы, выписку из ЕГРЮЛ, документ об избрании руководителя, документы, подтверждающие личность руководителя и лиц, имеющих право подписи. Документы можно предоставить в копиях, заверенных нотариально, регистрирующим органом, руководителем или сотрудником Банка при наличии оригиналов.","Для юридического лица необходимо предоставить следующие документы для открытия счета в банке Tinkoff:
1. Учредительные документы юридического лица: Устав юридического лица и/или Учредительный договор (в зависимости от организационно-правовой формы юридического лица). Эти документы могут быть предоставлены в виде последней актуальной редакции или действующей редакции с листами изменений, зарегистрированными уполномоченным органом.
2. Сведения о договорах о привлечении банковского платежного агента (банковского платежного субагента), о договорах об осуществлении деятельности по приему платежей физических лиц.
3. Документы-основания участия бенефициара или бенефициаров в отношениях по договору номинального счета.
4. Идентификационные документы бенефициарного(ых) владельца(ев), такие как документы, удостоверяющие личность.
5. Адрес места жительства (регистрации) или места пребывания.
6. Информация о контактных данных, включая номер телефона, адрес электронной почты и т.д.

Относительно предоставления сканов документов или оригиналов, рекомендуется уточнить у банка Tinkoff, так как требования могут различаться в зависимости от конкретных обстоятельств и политики банка."
Можно ли открыть счет индивидуальному предпринимателю – иностранному гражданину? Какие документы для этого нужны?,"['3.1. Идентификация индивидуального предпринимателя осуществляется на основании документов и сведений, указанных в пункте 1.4 настоящего Перечня', '3.2. Документ, подтверждающий право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации...']","Да, индивидуальному предпринимателю-иностранному гражданину можно открыть счет. Для этого нужно предоставить документ, удостоверяющий личность, документ, подтверждающий право пребывания/проживания в РФ (напр. миграционную карту), ИНН, СНИЛС, выписку из ЕГРИП и контактную информацию.","Для открытия счета индивидуальному предпринимателю – иностранному гражданину необходимо предоставить определенные документы и сведения. В случае, если физическое лицо, являющееся иностранным гражданином, занимается частной практикой, оно должно дополнительно предоставить миграционную карту и/или документ, подтверждающий право иностранного гражданина на пребывание в Российской Федерации. Также необходимо учитывать требования законодательства РФ и предоставлять сведения и документы в зависимости от организационно-правовой формы.

В целом, для открытия счета индивидуальному предпринимателю – иностранному гражданину потребуется предоставить документы, подтверждающие личность, право пребывания в стране, учредительные документы (если применимо), а также другие документы, указанные в соответствующих разделах перечня документов и сведений. Важно учитывать все требования и следовать инструкциям банка Tinkoff для успешного открытия счета. Если у вас возникнут дополнительные вопросы или требуется более подробная информация, рекомендуется обратиться в банк для консультации."
"Какие документы потребуются, если открывать счет для нотариуса, занимающегося частной практикой? Может ли нотариус быть иностранцем при этом?","['5.1. Документ, удостоверяющий личность и указанный в пункте 1.4 настоящего Перечня', '5.2. Документ, подтверждающий наделение нотариуса полномочиями (назначение на должность), выдаваемый органами юстиции субъектов Российской Федерации, в соответствии с законодательством Российской Федерации']","Для открытия счета нотариусу, занимающемуся частной практикой, требуется предоставить документ, удостоверяющий личность, документ о назначении на должность нотариуса от органов юстиции, регистрационные документы, финансовые документы и контактные данные. Нотариус может быть иностранцем, в этом случае дополнительно потребуется документ, подтверждающий право на пребывание/проживание в РФ.","Для открытия счета для нотариуса, занимающегося частной практикой, потребуются следующие документы:
1. Документ, удостоверяющий личность нотариуса.
2. Документ, подтверждающий наделение нотариуса полномочиями, выдаваемый органами юстиции.
3. Адрес места жительства или места пребывания нотариуса.
4. Контактная информация (номер телефона, факс, адрес электронной почты).
5. Выписка из ЕГРИП.
6. Информация о страховом номере индивидуального лицевого счета застрахованного лица (при необходимости).
7. Сведения о целях установления и предполагаемом характере деловых отношений с банком.
8. Сведения о деловой репутации.

Если нотариус является иностранным гражданином, ему также необходимо предоставить:
1. Миграционную карту.
2. Документ, подтверждающий право иностранного гражданина или лица без гражданства на пребывание в Российской Федерации.

Таким образом, нотариус может быть иностранцем при открытии счета, при условии предоставления всех необходимых документов, как указано выше. Если у нотариуса есть документы, подтверждающие его право на пребывание в России, он может открыть счет в банке Tinkoff."
"Как узнать, кто является бенефициарным владельцем юридического лица? Какие документы для этого нужны?",['12. Идентификация бенефициарного(ых) владельца(ев) осуществляется на основании следующий документов и сведений...'],"Для идентификации бенефициарного владельца юридического лица необходимо предоставить документы, удостоверяющие личность бенефициара, документ о регистрации/пребывании в РФ (если бенефициар - иностранец), ИНН, адрес регистрации и контактные данные. Также можно заполнить анкету бенефициарного владельца по форме Банка.","Для того чтобы узнать, кто является бенефициарным владельцем юридического лица, необходимо предоставить следующие документы и сведения:

1. Документы, удостоверяющие личность бенефициарного владельца, включая документы, указанные в соответствующем перечне.
2. В случае если бенефициарный владелец является иностранным гражданином или лицом без гражданства, необходим документ, подтверждающий право на пребывание в Российской Федерации.
3. Анкета физического лица — бенефициарного владельца по форме Банка, подписанная Клиентом.
4. Дополнительные документы и сведения, которые могут быть запрошены Банком для идентификации бенефициарного владельца.

Если у вас возникли дополнительные вопросы или вам нужна более подробная информация, рекомендую обратиться в банк Tinkoff для консультации специалиста по данному вопросу."
Расскажи про термины 'Договор страхования' и 'КАСКО',"['1. Термины и определения     \n                    Договор страхования — договор, по которому одна сторона (Страховщик) обязуется за обусловленную договором \n                    плату (страховую премию) при наступлении предусмотренного в договоре события (страхового случая) осуществить \n                    другой стороне (страхователю) или иному лицу, в пользу которого заключен договор (выгодоприобретателю), \n                    страховое возмещение в пределах определенной договором суммы (страховой суммы).', 'КАСКО — комбинированное страхование транспортных средств и сопутствующих рисков.']"," Да, конечно! Договор страхования — это договор, по которому одна сторона (Страховщик) обязуется за обусловленную договором 
                    плату (страховую премию) при наступлении предусмотренного в договоре события (страхового случая) осуществить 
                    другой стороне (страхователю) или иному лицу, в пользу которого заключен договор (выгодоприобретателю), 
                    страховое возмещение в пределах определенной договором суммы (страховой суммы). 
                    КАСКО — это комбинированное страхование транспортных средств и сопутствующих рисков.","Договор страхования - это договор, по которому одна сторона (Страховщик) обязуется за обусловленную договором плату (страховую премию) при наступлении предусмотренного в договоре события (страхового случая) осуществить другой стороне (страхователю) или иному лицу, в пользу которого заключен договор (выгодоприобретателю), страховое возмещение в пределах определенной договором суммы (страховой суммы).

КАСК (комбинированное страхование транспортных средств и сопутствующих рисков) - это вид страхования, который предоставляет защиту от различных рисков, связанных с владением и использованием транспортного средства, включая повреждения, угоны и другие непредвиденные ситуации.

Таким образом, договор страхования является основным документом, определяющим права и обязанности сторон при страховании, а КАСК представляет собой конкретный вид страхования, охватывающий различные риски, связанные с транспортными средствами."
"Какой минимум страховой выплаты мне вернут, если моя страховая сумма = 50 000 долларов?"," 
                    2.19.   При добровольном страховании непредвиденных расходов путешественников страховая сумма в договоре 
                    страхования может быть установлена в рублях или иностранной валюте в рублевом эквиваленте по официальному 
                    курсу иностранных валют ЦБ РФ на дату заключения Договора страхования, но не менее чем 66,7 руб. за 1 у.е.  при 
                    страховой сумме 30 000 у.е., 57,2 руб. за 1 у.е. при страховой сумме 35 000 у.е., 50 руб. за 1 у.е. при страховой сумме 
                    50 000 у.е., 26,7 руб. за 1 у.е. при страховой сумме 75 000 у.е."," 
                    Минимальная страховая выплата, которую вам вернут, если ваша страховая сумма составляет 50 000 долларов, составляет 50 рублей за 1 доллар США. Минимальная выплата составит 2 500 000 рублей.
                    Обратите внимание, что это минимальная выплата, которую вы получите. Фактическая сумма выплаты может варьироваться в зависимости от условий вашего договора.
        ",Из предоставленного контекста я не могу точно определить минимум страховой выплаты по вашему вопросу. Рекомендую обратиться в банк Tinkoff для получения более точной информации о страховых выплатах и условиях договора страхования.
"При принятии пользовательских соглашений, кому еще попадают мои данные?","['\n                    5. Персональные данные     \n                        5.1.       Пользователь подтверждает, что с использованием Дистанционных каналов взаимодействия дает Страховщику, \n                        аффилированным лицам страховщика, Страховому агенту или Страховому брокеру, а также лицам, \n                        предоставляющим услуги по использованию их информационных возможностей для целей заключения договоров \n                        страхования, хранения документов, в том числе, облачных сервисов, серверов, программных продуктов, согласие на \n                        обработку его персональных данных с целью осуществления дистанционного взаимодействия с последними при \n                        использовании их Сайта и/или сайтов в сети Интернет или при помощи ПО Страховщика и в целях осуществления \n                        маркетинговых коммуникаций перечисленных лиц с Пользователем.  \n        ']","
                    Согласно пункту 5.1 пользовательского соглашения, ваши персональные данные могут быть переданы следующим сторонам:
                        • Аффилированные лица страховщика
                        • Страховой агент
                        • Страховой брокер
                        • Лица, предоставляющие услуги по использованию их информационных возможностей для целей заключения договоров страхования, хранения документов, в том числе облачных сервисов, серверов, программных продуктов
","При принятии пользовательских соглашений, ваши данные могут попасть к следующим лицам:
1. Страховщику, аффилированным лицам страховщика, Страховому агенту или Страховому брокеру.
2. Лицам, предоставляющим услуги по использованию их информационных возможностей для целей заключения договоров страхования, хранения документов, в том числе, облачных сервисов, серверов, программных продуктов.
3. Лицам, осуществляющим маркетинговые коммуникации с вами.

Вы даете согласие на обработку ваших персональных данных указанными лицами сроком на 15 лет. В случае отзыва согласия, обработка ваших данных должна быть прекращена и данные уничтожены в течение 1 года с момента отзыва согласия и прекращения отношений с АО «Тинькофф Страхование».

Если у вас остались дополнительные вопросы или нужна более подробная информация, рекомендую обратиться в банк Tinkoff для получения консультации специалиста."
