question,contexts,ground_truth,answer
"Если я из другой страны и у меня нет паспорта РФ, что мне делать?","['\n                     1. Документы и сведения, получаемые в целях идентификации Клиентов-физических лиц, а также в целях обслуживания таких Клиентов в рамках Универсального договора\n                     1.4. Реквизиты документа, удостоверяющего личность: серия (при наличии) и номер документа, дата выдачи документа, наименование органа, выдавшего документ (при наличии кода подразделения может не устанавливаться), и код подразделения (при наличии).\n                     1.4.2.для иностранных граждан:\n                     •паспорт иностранного гражданина;\n                     •дипломатический паспорт, служебный паспорт, удостоверяющие личность иностранного гражданина.', '.5.Документ, подтверждающий право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации (миграционной карты в случае отсутствия иных документов), в случае если наличие таких документов обязательно в соответствии с международными договорами Российской Федерации и законодательством Российской Федерации;Документами, подтверждающими право иностранного гражданина или лица без гражданства на пребывание (проживание) в РФ, являются:\n                    •миграционная карта в случае отсутствия иных документов;\n                    •вид на жительство;\n                    •разрешение на временное проживание;\n                    •виза;\n                    •иной документ, подтверждающий в соответствии с международными договорами Российской Федерации и законодательством РФ право иностранного гражданина или лица без гражданства на пребывание (проживание) в РФ.\n']","
                        Если вы из другой страны, то для заключения договора вам неообходимы документы, удостоверяющие Вашу личность. Для иностранных граждан это:
                            •паспорт иностранного гражданина;
                            •дипломатический паспорт, служебный паспорт, удостоверяющие личность иностранного гражданина.
                        Также необходимы документы, подтверждающие право иностранного гражданина (проживание) в Российской Федерации (миграционной карты в случае отсутствия иных документов), в случае если наличие таких документов обязательно в соответствии с международными договорами Российской Федерации и законодательством Российской Федерации;Документами, подтверждающими право иностранного гражданина или лица без гражданства на пребывание (проживание) в РФ, являются:
                            •миграционная карта в случае отсутствия иных документов;
                            •вид на жительство;
                            •разрешение на временное проживание;
                            •виза;
                            •иной документ, подтверждающий в соответствии с международными договорами Российской Федерации и законодательством РФ право иностранного гражданина или лица без гражданства на пребывание (проживание) в РФ. ","Если вы находитесь в другой стране и у вас нет паспорта Российской Федерации, вам следует связаться с банком Tinkoff через дистанционное обслуживание и оформить претензию. Сотрудник банка поможет вам в этом."
В течении скольких дней действительна выписка из ЕГРЮЛ?,"['\n                    2.2. Выписка из Единого государственного реестра юридических лиц (ЕГРЮЛ). Банком может быть принята копия \n                    выписки, заверенная регистрирующим органом. Выписка считается действительной для предоставления в Банк \n                    в течение 30 (тридцати) календарных дней с даты ее выдачи и должна содержать актуальные сведения на дату  \n                    ее предоставления;']",Выписка из Единого государственного реестра юридических лиц (ЕГРЮЛ) действительна в течении 30 дней с даты ее выдачи.,Выписка из ЕГРЮЛ считается действительной для предоставления в Банк в течение 30 (тридцати) календарных дней с даты ее выдачи и должна содержать актуальные сведения на дату ее предоставления.
Нужно ли ИП указывать свой сайт для предприятия?,"['\n                    3. Документы и сведения, предоставляемые Клиентом-индивидуальным предпринимателем: \n                    3.5. Сведения о доменном имени, указателе страницы сайта в сети «Интернет», с использованием которых Клиентом \nоказываются услуги (при наличии);\n                    ']","Да, индивидуальному предпринимателю необходимо указать сведения о доменном имени, указателе страницы сайта в сети «Интернет».","Согласно пользовательскому соглашению АО «Тинькофф Страхование», указание своего сайта для предприятия не является обязательным. Однако, использование Дистанционных каналов взаимодействия может осуществляться с использованием официального Сайта Страховщика, его страхового агента, страхового брокера в информационно-телекоммуникационной сети «Интернет» или мобильных приложений Страховщика, страхового агента, страхового брокера, а также аффилированных лиц Страховщика. Это позволяет пользователям получать сведения о Страховщике, его продуктах и услугах, об условиях и правилах страхования, иную информацию и материалы, а также пользоваться иными сервисами Страховщика, страхового агента, страхового брокера, а также аффилированных лиц Страховщика."
Может ли Банк запросить дополнительные документы - не из списка обязательных?,"['\n                     26. Банк может запросить у Клиента, а Клиент обязуется предоставить по запросу Банка дополнительные документы \n                    и сведения, как предусмотренные, так и не предусмотренные настоящим Перечнем, в том числе в целях надлежащей \n                    идентификации Клиента, его представителя, выгодоприобретателя и бенефициарного владельца в соответствии \n                    с требованиями действующего законодательства Российской Федерации, нормативных актов Банка России, а также \n                    требованиями Банка. Банк вправе не запрашивать отдельные документы и сведения, предусмотренные настоящим \n                    Перечнем, в случаях, установленных внутренними правилами Банка.']","Да, Банк может запросить у Вас дополнительные не предусмотренные Перечнем документы.","Да, Банк Tinkoff имеет право запросить дополнительные документы, не предусмотренные списком обязательных, в целях надлежащей идентификации клиента, его представителя, выгодоприобретателя и бенефициарного владельца в соответствии с требованиями законодательства Российской Федерации и нормативных актов Банка России. Банк может не запрашивать отдельные документы и сведения, предусмотренные перечнем, в случаях, установленных внутренними правилами Банка."
Какие документы нужно предоставить физическому лицу для открытия счета?,"['1. Документы и сведения, получаемые в целях идентификации Клиентов-физических лиц, а также в целях обслуживания таких Клиентов в рамках Универсального договора']","Физическому лицу для открытия счета необходимо предоставить документ, удостоверяющий личность (паспорт или иной документ из списка в п.1.4), документ, подтверждающий регистрацию или место пребывания, ИНН, СНИЛС и контактную информацию.","Для открытия счета в банке Tinkoff физическому лицу необходимо предоставить следующие документы:

1. Паспорт гражданина РФ или иной документ, удостоверяющий личность.
2. Сведения о месте жительства или регистрации.
3. Документ, подтверждающий право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации (в случае, если клиент является иностранным гражданином или лицом без гражданства).

Пожалуйста, обратитесь в отделение банка Tinkoff для получения подробной информации о необходимых документах и процедуре открытия счета."
Какие документы необходимо предоставить юридическому лицу для открытия счета в Банке? Можно ли предоставить сканы документов или нужны оригиналы?,"['2.1. Учредительные документы юридического лица...', '2.2. Выписка из Единого государственного реестра юридических лиц (ЕГРЮЛ)...', '2.3. Документ об избрании единоличного исполнительного органа юридического лица...']","Юридическому лицу необходимо предоставить учредительные документы, выписку из ЕГРЮЛ, документ об избрании руководителя, документы, подтверждающие личность руководителя и лиц, имеющих право подписи. Документы можно предоставить в копиях, заверенных нотариально, регистрирующим органом, руководителем или сотрудником Банка при наличии оригиналов.","Для открытия счета в Банке юридическому лицу необходимо предоставить следующие документы:

1. Учредительные документы (Устав, Учредительный договор или иной документ, предусмотренный законодательством страны регистрации ЮЛ-нерезидента).
2. Документ, подтверждающий государственную регистрацию ЮЛ-нерезидента (свидетельство о регистрации / выписка из торгового реестра / реестра компаний страны регистрации ЮЛ-нерезидента, или иной документ, подтверждающий правовой статус ЮЛ-нерезидента по законодательству страны, где создано это ЮЛ-нерезидент).
3. Выписку об аккредитации филиала, представительства иностранного юридического лица в государственном реестре аккредитованных филиалов, представительств иностранных юридических лиц (при необходимости).
4. Свидетельство о постановке на учет в налоговом органе ЮЛ-нерезидента в случаях, предусмотренных законодательством Российской Федерации.
5. Разрешение Национального (Центрального) банка иностранного государства на открытие счета (с заверенным переводом на русский язык), если наличие такого разрешения требуется в соответствии с международными договорами с участием Российской Федерации или законодательством иностранного государства.
6. Документ, подтверждающий полномочия руководителя ЮЛ-нерезидента (единоличного исполнительного органа ЮЛ-нерезидента).
7. Документ, удостоверяющий личность лица (лиц), наделенного (ых) правом подписи и руководителя ЮЛ-нерезидента, а также лица (лиц) уполномоченного (ых) распоряжаться денежными средствами, находящимися на счете ЮЛ-нерезидента, используя аналог собственноручной подписи.

Относительно предоставления сканов документов или оригиналов, мы рекомендуем обратиться в банк для получения подробной информации о требованиях к документам и процедуре их подачи."
Можно ли открыть счет индивидуальному предпринимателю – иностранному гражданину? Какие документы для этого нужны?,"['3.1. Идентификация индивидуального предпринимателя осуществляется на основании документов и сведений, указанных в пункте 1.4 настоящего Перечня', '3.2. Документ, подтверждающий право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации...']","Да, индивидуальному предпринимателю-иностранному гражданину можно открыть счет. Для этого нужно предоставить документ, удостоверяющий личность, документ, подтверждающий право пребывания/проживания в РФ (напр. миграционную карту), ИНН, СНИЛС, выписку из ЕГРИП и контактную информацию.","Да, индивидуальный предприниматель – иностранный гражданин может открыть счет в банке Tinkoff. Для этого ему необходимо предоставить следующие документы:

1. Миграционную карту или документ, подтверждающий право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации, если такое предусмотрено законодательством Российской Федерации.
2. Документ, удостоверяющий личность иностранного гражданина или лица без гражданства.
3. Документы, подтверждающие право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации.
4. Документы, подтверждающие государственную регистрацию индивидуального предпринимателя.
5. Документы, подтверждающие полномочия руководителя индивидуального предпринимателя.
6. Документы, удостоверяющие личность лица (лиц), наделенного (ых) правом подписи и руководителя индивидуального предпринимателя, а также лица (лиц) уполномоченного (ых) распоряжаться денежными средствами, находящимися на счете индивидуального предпринимателя.

Пожалуйста, обратитесь в банк Tinkoff для получения подробной информации о процедуре открытия счета и необходимых документах."
"Какие документы потребуются, если открывать счет для нотариуса, занимающегося частной практикой? Может ли нотариус быть иностранцем при этом?","['5.1. Документ, удостоверяющий личность и указанный в пункте 1.4 настоящего Перечня', '5.2. Документ, подтверждающий наделение нотариуса полномочиями (назначение на должность), выдаваемый органами юстиции субъектов Российской Федерации, в соответствии с законодательством Российской Федерации']","Для открытия счета нотариусу, занимающемуся частной практикой, требуется предоставить документ, удостоверяющий личность, документ о назначении на должность нотариуса от органов юстиции, регистрационные документы, финансовые документы и контактные данные. Нотариус может быть иностранцем, в этом случае дополнительно потребуется документ, подтверждающий право на пребывание/проживание в РФ.","Для открытия счета для нотариуса, занимающегося частной практикой, необходимо предоставить следующие документы:

1. Документ, удостоверяющий личность и указанный в пункте 1.4 настоящего Перечня.
2. Документ, подтверждающий наделение нотариуса полномочиями (назначение на должность), выдаваемый органами юстиции субъектов Российской Федерации, в соответствии с законодательством Российской Федерации.
3. Адрес места жительства (регистрации) или места пребывания (если его нельзя установить из документа, удостоверяющего личность, а также если адрес места жительства (регистрации) или места пребывания не совпадают).
4. Контактная информация (например, номер телефона, факса, адрес электронной почты, почтовый адрес (при наличии)).
5. Выписка из ЕГРИП. Банком может быть принята копия выписки, заверенная регистрирующим органом. Выписка считается действительной для предоставления в Банк в течение 30 (тридцати) календарных дней с даты ее выдачи и должна содержать актуальные сведения на дату ее предоставления.
6. Информация о страховом номере индивидуального лицевого счета застрахованного лица в системе обязательного пенсионного страхования (при необходимости).
7. Сведения о целях установления и предполагаемом характере деловых отношений с Банком, сведения о целях финансово-хозяйственной деятельности (по форме Банка). Сведения о целях установления и предполагаемом характере деловых отношений с Банком, а также сведения о целях финансово-хозяйственной деятельности клиента устанавливаются однократно при приеме Клиента на обслуживание и обновляются при возникновении сомнений в их достоверности.
8. Сведения о деловой репутации (отзывы (в произвольной письменной форме).

Иностранный гражданин, занимающийся частной практикой, дополнительно к вышеперечисленным документам должен представить миграционную карту и (или) документ, подтверждающий право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации, в случае если наличие такого документа предусмотрено законодательством Российской Федерации в соответствии с пунктом 1.5 настоящего Перечня."
"Как узнать, кто является бенефициарным владельцем юридического лица? Какие документы для этого нужны?",['12. Идентификация бенефициарного(ых) владельца(ев) осуществляется на основании следующий документов и сведений...'],"Для идентификации бенефициарного владельца юридического лица необходимо предоставить документы, удостоверяющие личность бенефициара, документ о регистрации/пребывании в РФ (если бенефициар - иностранец), ИНН, адрес регистрации и контактные данные. Также можно заполнить анкету бенефициарного владельца по форме Банка.","Для того чтобы узнать, кто является бенефициарным владельцем юридического лица, необходимо предоставить следующие документы и сведения:

1. Документы, удостоверяющие личность и указанные в пункте 1.4 настоящего Перечня.
2. Документ, подтверждающий право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации (миграционной карты в случае отсутствия иных документов), в случае если бенефициарный владелец является иностранным гражданином или лицом без гражданства.

Если бенефициарный владелец является иностранным гражданином или лицом без гражданства, то идентификация осуществляется исключительно на основании указанных выше документов и сведений (без использования Анкеты бенефициарного владельца по форме Банка)."
Расскажи про термины 'Договор страхования' и 'КАСКО',"['1. Термины и определения     \n                    Договор страхования — договор, по которому одна сторона (Страховщик) обязуется за обусловленную договором \n                    плату (страховую премию) при наступлении предусмотренного в договоре события (страхового случая) осуществить \n                    другой стороне (страхователю) или иному лицу, в пользу которого заключен договор (выгодоприобретателю), \n                    страховое возмещение в пределах определенной договором суммы (страховой суммы).', 'КАСКО — комбинированное страхование транспортных средств и сопутствующих рисков.']"," Да, конечно! Договор страхования — это договор, по которому одна сторона (Страховщик) обязуется за обусловленную договором 
                    плату (страховую премию) при наступлении предусмотренного в договоре события (страхового случая) осуществить 
                    другой стороне (страхователю) или иному лицу, в пользу которого заключен договор (выгодоприобретателю), 
                    страховое возмещение в пределах определенной договором суммы (страховой суммы). 
                    КАСКО — это комбинированное страхование транспортных средств и сопутствующих рисков.","Договор страхования - это договор, по которому одна сторона (страховщик) обязуется за обусловленную договором плату (страховую премию) при наступлении предусмотренного в договоре события (страхового случая) осуществить другой стороне (страхователю) или иному лицу, в пользу которого заключен договор (выгодоприобретателю), страховое возмещение в пределах определенной договором суммы (страховой суммы). Клиент - юридическое лицо или дееспособное физическое лицо, заключившее с страховщиком договор страхования (страхователь), а также застрахованное лицо или выгодоприобретатель по договору страхования. Пользователь - любое лицо, в том числе клиент, обратившийся к страховщику посредством сайта страховщика, сайтов в сети интернет страховых агентов и страховых брокеров страховщика, а также аффилированных лиц страховщика и/или их мобильных приложений. ПО Страховщик - представленная в объективной форме совокупность данных и команд, предназначенных для функционирования электронно-вычислительных машин и других компьютерных устройств, в целях получения определенного результата при взаимодействии со страховщиком. Правила страхования - утвержденные страховщиком стандартные условия, на которых осуществляется страхование соответствующего вида.

КАСКО - это комбинированное страхование транспортных средств и сопутствующих рисков."
"Какой минимум страховой выплаты мне вернут, если моя страховая сумма = 50 000 долларов?"," 
                    2.19.   При добровольном страховании непредвиденных расходов путешественников страховая сумма в договоре 
                    страхования может быть установлена в рублях или иностранной валюте в рублевом эквиваленте по официальному 
                    курсу иностранных валют ЦБ РФ на дату заключения Договора страхования, но не менее чем 66,7 руб. за 1 у.е.  при 
                    страховой сумме 30 000 у.е., 57,2 руб. за 1 у.е. при страховой сумме 35 000 у.е., 50 руб. за 1 у.е. при страховой сумме 
                    50 000 у.е., 26,7 руб. за 1 у.е. при страховой сумме 75 000 у.е."," 
                    Минимальная страховая выплата, которую вам вернут, если ваша страховая сумма составляет 50 000 долларов, составляет 50 рублей за 1 доллар США. Минимальная выплата составит 2 500 000 рублей.
                    Обратите внимание, что это минимальная выплата, которую вы получите. Фактическая сумма выплаты может варьироваться в зависимости от условий вашего договора.
        ","Из предоставленного контекста невозможно точно определить минимальный размер страховой выплаты, который будет возвращен при страховой сумме в 50 000 долларов. Для получения точной информации рекомендуется обратиться в банк Tinkoff или ознакомиться с условиями конкретного договора страхования."
"При принятии пользовательских соглашений, кому еще попадают мои данные?","['\n                    5. Персональные данные     \n                        5.1.       Пользователь подтверждает, что с использованием Дистанционных каналов взаимодействия дает Страховщику, \n                        аффилированным лицам страховщика, Страховому агенту или Страховому брокеру, а также лицам, \n                        предоставляющим услуги по использованию их информационных возможностей для целей заключения договоров \n                        страхования, хранения документов, в том числе, облачных сервисов, серверов, программных продуктов, согласие на \n                        обработку его персональных данных с целью осуществления дистанционного взаимодействия с последними при \n                        использовании их Сайта и/или сайтов в сети Интернет или при помощи ПО Страховщика и в целях осуществления \n                        маркетинговых коммуникаций перечисленных лиц с Пользователем.  \n        ']","
                    Согласно пункту 5.1 пользовательского соглашения, ваши персональные данные могут быть переданы следующим сторонам:
                        • Аффилированные лица страховщика
                        • Страховой агент
                        • Страховой брокер
                        • Лица, предоставляющие услуги по использованию их информационных возможностей для целей заключения договоров страхования, хранения документов, в том числе облачных сервисов, серверов, программных продуктов
","Ваши данные могут попасть к Страховщику, аффилированным лицам страховщика, Страховому агенту или Страховому брокеру, а также лицам, предоставляющим услуги по использованию их информационных возможностей для целей заключения договоров страхования, хранения документов, в том числе, облачных сервисов, серверов, программных продуктов."
Зачем страховщик ведет аудио и видеозапись при взаимодействии с клиентом? Как долго эти записи хранятся?,"['При заключении Договоров страхования, а также при ином обращении Клиента или Пользователя к Страховщику или его представителям Страховщик вправе осуществлять наблюдение, фотографирование, аудио- и видеозапись, включая запись телефонных разговоров, а также копирование и хранение переписок между Пользователем и Страховщиком (его представителями) по электронной почте или в мессенджерах, без дополнительного уведомления Клиента (Пользователя) о такой записи. Клиент соглашается, что Страховщик вправе хранить такие записи в течение 5 (пяти) лет с момента прекращения отношений с Клиентом (Пользователем), с целью улучшения качества обслуживания, исполнения Договора страхования, а также использовать их при проведении любых расследований в связи с Договором страхования.']","Страховщик ведет аудио, видеозапись, фотографирование, копирует переписку с клиентом без дополнительного уведомления с целью улучшения качества обслуживания, исполнения договора страхования, а также для использования этих записей при проведении расследований, связанных с договором. Такие записи страховщик вправе хранить в течение 5 лет с момента прекращения отношений с клиентом.","Страховщик ведет аудио и видеозапись при взаимодействии с клиентом для улучшения качества обслуживания, исполнения договора страхования и проведения расследований в связи с договором страхования. Эти записи хранятся в течение 5 лет с момента прекращения отношений с клиентом."
