question,contexts,ground_truth,answer
"Если я из другой страны и у меня нет паспорта РФ, что мне делать?","['\n                     1. Документы и сведения, получаемые в целях идентификации Клиентов-физических лиц, а также в целях обслуживания таких Клиентов в рамках Универсального договора\n                     1.4. Реквизиты документа, удостоверяющего личность: серия (при наличии) и номер документа, дата выдачи документа, наименование органа, выдавшего документ (при наличии кода подразделения может не устанавливаться), и код подразделения (при наличии).\n                     1.4.2.для иностранных граждан:\n                     •паспорт иностранного гражданина;\n                     •дипломатический паспорт, служебный паспорт, удостоверяющие личность иностранного гражданина.', '.5.Документ, подтверждающий право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации (миграционной карты в случае отсутствия иных документов), в случае если наличие таких документов обязательно в соответствии с международными договорами Российской Федерации и законодательством Российской Федерации;Документами, подтверждающими право иностранного гражданина или лица без гражданства на пребывание (проживание) в РФ, являются:\n                    •миграционная карта в случае отсутствия иных документов;\n                    •вид на жительство;\n                    •разрешение на временное проживание;\n                    •виза;\n                    •иной документ, подтверждающий в соответствии с международными договорами Российской Федерации и законодательством РФ право иностранного гражданина или лица без гражданства на пребывание (проживание) в РФ.\n']","
                        Если вы из другой страны, то для заключения договора вам неообходимы документы, удостоверяющие Вашу личность. Для иностранных граждан это:
                            •паспорт иностранного гражданина;
                            •дипломатический паспорт, служебный паспорт, удостоверяющие личность иностранного гражданина.
                        Также необходимы документы, подтверждающие право иностранного гражданина (проживание) в Российской Федерации (миграционной карты в случае отсутствия иных документов), в случае если наличие таких документов обязательно в соответствии с международными договорами Российской Федерации и законодательством Российской Федерации;Документами, подтверждающими право иностранного гражданина или лица без гражданства на пребывание (проживание) в РФ, являются:
                            •миграционная карта в случае отсутствия иных документов;
                            •вид на жительство;
                            •разрешение на временное проживание;
                            •виза;
                            •иной документ, подтверждающий в соответствии с международными договорами Российской Федерации и законодательством РФ право иностранного гражданина или лица без гражданства на пребывание (проживание) в РФ. ","Если вы являетесь иностранным гражданином и не имеете паспорта РФ, вам необходимо предоставить следующие документы для открытия счета в банке Tinkoff:

1. Паспорт иностранного гражданина.
2. Дипломатический паспорт, служебный паспорт, удостоверяющие личность иностранного гражданина.
3. Документ, выданный иностранным государством и признаваемый в соответствии с международным договором Российской Федерации в качестве документа, удостоверяющего личность лица без гражданства.
4. Разрешение на временное проживание лица без гражданства.
5. Вид на жительство лица без гражданства.
6. Документ, удостоверяющий личность лица, не имеющего действительного документа, удостоверяющего личность, на период рассмотрения заявления о признании гражданином Российской Федерации.
7. Документ, удостоверяющий личность лица, не имеющего действительного документа, удостоверяющего личность, на период рассмотрения заявления о признании гражданином Российской Федерации.

Также вам может потребоваться предоставить дополнительные документы в зависимости от вашей конкретной ситуации и требований банка. Рекомендуется обратиться в банк Tinkoff для получения подробной информации и консультации по данному вопросу."
В течении скольких дней действительна выписка из ЕГРЮЛ?,"['\n                    2.2. Выписка из Единого государственного реестра юридических лиц (ЕГРЮЛ). Банком может быть принята копия \n                    выписки, заверенная регистрирующим органом. Выписка считается действительной для предоставления в Банк \n                    в течение 30 (тридцати) календарных дней с даты ее выдачи и должна содержать актуальные сведения на дату  \n                    ее предоставления;']",Выписка из Единого государственного реестра юридических лиц (ЕГРЮЛ) действительна в течении 30 дней с даты ее выдачи.,Выписка из ЕГРЮЛ действительна в течение 30 календарных дней с даты ее выдачи.
Нужно ли ИП указывать свой сайт для предприятия?,"['\n                    3. Документы и сведения, предоставляемые Клиентом-индивидуальным предпринимателем: \n                    3.5. Сведения о доменном имени, указателе страницы сайта в сети «Интернет», с использованием которых Клиентом \nоказываются услуги (при наличии);\n                    ']","Да, индивидуальному предпринимателю необходимо указать сведения о доменном имени, указателе страницы сайта в сети «Интернет».","В соответствии с требованиями Банка, индивидуальные предприниматели должны указывать свой сайт для предприятия. Это необходимо для того, чтобы Банк мог получить информацию о целях финансово-хозяйственной деятельности Клиента, а также для обеспечения безопасности и защиты персональных данных Клиента."
Может ли Банк запросить дополнительные документы - не из списка обязательных?,"['\n                     26. Банк может запросить у Клиента, а Клиент обязуется предоставить по запросу Банка дополнительные документы \n                    и сведения, как предусмотренные, так и не предусмотренные настоящим Перечнем, в том числе в целях надлежащей \n                    идентификации Клиента, его представителя, выгодоприобретателя и бенефициарного владельца в соответствии \n                    с требованиями действующего законодательства Российской Федерации, нормативных актов Банка России, а также \n                    требованиями Банка. Банк вправе не запрашивать отдельные документы и сведения, предусмотренные настоящим \n                    Перечнем, в случаях, установленных внутренними правилами Банка.']","Да, Банк может запросить у Вас дополнительные не предусмотренные Перечнем документы.","Да, Банк может запросить дополнительные документы, не из списка обязательных, в целях надлежащей идентификации Клиента, его представителя, выгодоприобретателя и бенефициарного владельца в соответствии с требованиями действующего законодательства Российской Федерации, нормативных актов Банка России, а также требованиями Банка. Банк вправе не запрашивать отдельные документы и сведения, предусмотренные настоящим Перечнем, в случаях, установленных."
Какие документы нужно предоставить физическому лицу для открытия счета?,"['1. Документы и сведения, получаемые в целях идентификации Клиентов-физических лиц, а также в целях обслуживания таких Клиентов в рамках Универсального договора']","Физическому лицу для открытия счета необходимо предоставить документ, удостоверяющий личность (паспорт или иной документ из списка в п.1.4), документ, подтверждающий регистрацию или место пребывания, ИНН, СНИЛС и контактную информацию.","Для открытия счета в Банке Tinkoff физическому лицу необходимо предоставить следующие документы:

1. Документ, удостоверяющий личность (паспорт гражданина РФ, загранпаспорт, вид на жительство и т.д.).
2. Сведения о месте жительства или регистрации.
3. ИНН (индивидуальный номер налогоплательщика).

Также могут потребоваться дополнительные документы в зависимости от типа счета и требований законодательства. Например, для открытия специального банковского счета могут потребоваться документы, подтверждающие право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации.

Для получения более подробной информации о необходимых документах и процедуре открытия счета в Банке Tinkoff рекомендуется обратиться в отделение банка или связаться с его представителями по указанным на сайте контактам."
Какие документы необходимо предоставить юридическому лицу для открытия счета в Банке? Можно ли предоставить сканы документов или нужны оригиналы?,"['2.1. Учредительные документы юридического лица...', '2.2. Выписка из Единого государственного реестра юридических лиц (ЕГРЮЛ)...', '2.3. Документ об избрании единоличного исполнительного органа юридического лица...']","Юридическому лицу необходимо предоставить учредительные документы, выписку из ЕГРЮЛ, документ об избрании руководителя, документы, подтверждающие личность руководителя и лиц, имеющих право подписи. Документы можно предоставить в копиях, заверенных нотариально, регистрирующим органом, руководителем или сотрудником Банка при наличии оригиналов.","Для открытия счета в Банке юридическому лицу необходимо предоставить следующие документы:

1. Учредительные документы юридического лица (устав, учредительный договор и т.д.).
2. Документы, подтверждающие полномочия руководителя юридического лица (решение о назначении, приказ о вступлении в должность и т.д.).
3. Документы, удостоверяющие личность руководителя юридического лица и лиц, наделенных правом подписи и распоряжения денежными средствами на счете.
4. Документы, подтверждающие регистрацию юридического лица в налоговом органе.
5. Документы, подтверждающие наличие разрешения Национального (Центрального) банка иностранного государства на открытие счета (если требуется в соответствии с международными договорами или законодательством иностранного государства).

Предоставление сканов документов возможно, но для открытия счета обычно требуются оригиналы."
Можно ли открыть счет индивидуальному предпринимателю – иностранному гражданину? Какие документы для этого нужны?,"['3.1. Идентификация индивидуального предпринимателя осуществляется на основании документов и сведений, указанных в пункте 1.4 настоящего Перечня', '3.2. Документ, подтверждающий право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации...']","Да, индивидуальному предпринимателю-иностранному гражданину можно открыть счет. Для этого нужно предоставить документ, удостоверяющий личность, документ, подтверждающий право пребывания/проживания в РФ (напр. миграционную карту), ИНН, СНИЛС, выписку из ЕГРИП и контактную информацию.","Да, индивидуальный предприниматель – иностранный гражданин может открыть счет в банке Tinkoff. Для этого ему необходимо предоставить следующие документы:

1. Документ, подтверждающий право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации (миграционной карты в случае отсутствия иных документов), если наличие таких документов обязательно в соответствии с международными договорами Российской Федерации и законодательством Российской Федерации.

2. Документ, удостоверяющий личность лица (лиц), наделенного (ых) правом подписи и руководителя ЮЛ-нерезидента, а также лица (лиц) уполномоченного (ых) распоряжаться денежными средствами, находящимися на счете ЮЛ-нерезидента, используя аналог собственноручной подписи, представителя ЮЛ-нерезидента.

3. Документ, подтверждающий полномочия руководителя ЮЛ-нерезидента (единоличного исполнительного органа ЮЛ-нерезидента).

4. Документ, удостоверяющий личность лица (лиц), наделенного (ых) правом подписи и руководителя ЮЛ-нерезидента, а также лица (лиц) уполномоченного (ых) распоряжаться денежными средствами, находящимися на счете ЮЛ-нерезидента, используя аналог собственноручной подписи, представителя ЮЛ-нерезидента, и указанные в пункте 1.4 настоящего Перечня.

5. Документ, подтверждающий право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации (миграционной карты в случае отсутствия иных документов), в случае если наличие таких документов обязательно в соответствии с международными договорами Российской Федерации и законодательством Российской Федерации.

6. Документы и сведения, предоставляемые для открытия номинального счета. При открытии номинального счета в Банк предоставляются сведения и документы, указанные выше, в зависимости от организационно-правовой формы и документы-основания участия бенефициара или бенефициаров в отношениях по договору номинального счета (договор, шаблон применяемого договора, правила инвестиционной платформы, правила информационной системы, в которой осуществляется выпуск цифровых финансовых активов, правила обмена цифровых финансовых активов и (или) иные документы).

7. Идентификация бенефициарного(ых) владельца(ев) осуществляется на основании следующих документов и сведений:
   - Документы, удостоверяющие личность и указанные в пункте 1.4 настоящего Перечня;
   - В отношении физического лица, которое является иностранными гражданами или лицами без гражданства – документ, подтверждающий право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации.

8. Документы и сведения, предоставляемые для открытия специального банковского счета. Для открытия специального банковского счета в Банк представляются сведения и документы, указанные выше, в зависимости от соответствующей категории Клиента (физическое лицо, юридическое лицо и т.п.).

9. Документы и сведения, предоставляемые для открытия счета в зависимости соответствующей категории Клиента (физическое лицо, юридическое лицо и т.п.).

10. Документы, указанные в настоящем Перечне, для открытия счета в зависимости соответствующей категории Клиента (физическое лицо, юридическое лицо и т.п.).

11. Договор, на основании которого осуществляется доверительное управление.

12. Документы и сведения, предоставляемые для открытия номинального счета. При открытии номинального счета в Банк предоставляются сведения и документы, указанные выше, в зависимости от организационно-правовой формы и документы-основания участия бенефициара или бенефициаров в отношениях по договору номинального счета (договор, шаблон применяемого договора, правила инвестиционной платформы, правила информационной системы, в которой осуществляется выпуск цифровых финансовых активов, правила обмена цифровых финансовых активов и (или) иные документы).

13. Идентификация бенефициарного(ых) владельца(ев) осуществляется на основании следующих документов и сведений:
   - Документы, удостоверяющие личность и указанные в пункте 1.4 настоящего Перечня;
   - В отношении физического лица, которое является иностранными гражданами или лицами без гражданства – документ, подтверждающий право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации."
"Какие документы потребуются, если открывать счет для нотариуса, занимающегося частной практикой? Может ли нотариус быть иностранцем при этом?","['5.1. Документ, удостоверяющий личность и указанный в пункте 1.4 настоящего Перечня', '5.2. Документ, подтверждающий наделение нотариуса полномочиями (назначение на должность), выдаваемый органами юстиции субъектов Российской Федерации, в соответствии с законодательством Российской Федерации']","Для открытия счета нотариусу, занимающемуся частной практикой, требуется предоставить документ, удостоверяющий личность, документ о назначении на должность нотариуса от органов юстиции, регистрационные документы, финансовые документы и контактные данные. Нотариус может быть иностранцем, в этом случае дополнительно потребуется документ, подтверждающий право на пребывание/проживание в РФ.","Для открытия счета нотариуса, занимающегося частной практикой, необходимо предоставить следующие документы:

1. Документ, удостоверяющий личность и указанный в пункте 1.4 настоящего Перечня.
2. Документ, подтверждающий наделение нотариуса полномочиями (назначение на должность), выдаваемый органами юстиции субъектов Российской Федерации, в соответствии с законодательством Российской Федерации.
3. Адрес места жительства (регистрации) или места пребывания (если его нельзя установить из документа, удостоверяющего личность, а также если адрес места жительства (регистрации) или места пребывания не совпадают).
4. Контактная информация (например, номер телефона, факса, адрес электронной почты, почтовый адрес (при наличии).
5. Выписка из ЕГРИП. Банком может быть принята копия выписки, заверенная регистрирующим органом. Выписка считается действительной для предоставления в Банк в течение 30 (тридцати) календарных дней с даты ее выдачи и должна содержать актуальные сведения на дату ее предоставления.

Ответ на второй вопрос: Да, нотариус может быть иностранцем при открытии счета в банке Tinkoff. Однако, ему необходимо предоставить все необходимые документы, указанные выше, и соблюдать требования законодательства Российской Федерации."
"Как узнать, кто является бенефициарным владельцем юридического лица? Какие документы для этого нужны?",['12. Идентификация бенефициарного(ых) владельца(ев) осуществляется на основании следующий документов и сведений...'],"Для идентификации бенефициарного владельца юридического лица необходимо предоставить документы, удостоверяющие личность бенефициара, документ о регистрации/пребывании в РФ (если бенефициар - иностранец), ИНН, адрес регистрации и контактные данные. Также можно заполнить анкету бенефициарного владельца по форме Банка.","Для того чтобы узнать, кто является бенефициарным владельцем юридического лица, необходимо обратиться к документам и сведениям, которые были предоставлены при открытии номинального счета. В случае если бенефициарный владелец является иностранным гражданином или лицом без гражданства, или в отношении полученных сведений и/или документов возникают сомнения в достоверности и точности ранее полученной информации, идентификация осуществляется исключительно на основании указанных выше документов и сведений (без использования Анкеты бенефициарного владельца по форме Банка)."
Расскажи про термины 'Договор страхования' и 'КАСКО',"['1. Термины и определения     \n                    Договор страхования — договор, по которому одна сторона (Страховщик) обязуется за обусловленную договором \n                    плату (страховую премию) при наступлении предусмотренного в договоре события (страхового случая) осуществить \n                    другой стороне (страхователю) или иному лицу, в пользу которого заключен договор (выгодоприобретателю), \n                    страховое возмещение в пределах определенной договором суммы (страховой суммы).', 'КАСКО — комбинированное страхование транспортных средств и сопутствующих рисков.']"," Да, конечно! Договор страхования — это договор, по которому одна сторона (Страховщик) обязуется за обусловленную договором 
                    плату (страховую премию) при наступлении предусмотренного в договоре события (страхового случая) осуществить 
                    другой стороне (страхователю) или иному лицу, в пользу которого заключен договор (выгодоприобретателю), 
                    страховое возмещение в пределах определенной договором суммы (страховой суммы). 
                    КАСКО — это комбинированное страхование транспортных средств и сопутствующих рисков.","Договор страхования - это договор, по которому одна сторона (страховщик) обязуется за обусловленную договором плату (страховую премию) при наступлении предусмотренного в договоре события (страхового случая) осуществить другой стороне (страхователю) или иному лицу, в пользу которого заключен договор (выгодоприобретателю), страховое возмещение в пределах определенной договором суммы (страховой суммы). 

КАСКО - это комбинированное страхование транспортных средств и сопутствующих рисков. Оно включает в себя страхование от различных рисков, связанных с эксплуатацией транспортного средства, таких как угон, ущерб, причиненный в результате ДТП и т.д."
"Какой минимум страховой выплаты мне вернут, если моя страховая сумма = 50 000 долларов?"," 
                    2.19.   При добровольном страховании непредвиденных расходов путешественников страховая сумма в договоре 
                    страхования может быть установлена в рублях или иностранной валюте в рублевом эквиваленте по официальному 
                    курсу иностранных валют ЦБ РФ на дату заключения Договора страхования, но не менее чем 66,7 руб. за 1 у.е.  при 
                    страховой сумме 30 000 у.е., 57,2 руб. за 1 у.е. при страховой сумме 35 000 у.е., 50 руб. за 1 у.е. при страховой сумме 
                    50 000 у.е., 26,7 руб. за 1 у.е. при страховой сумме 75 000 у.е."," 
                    Минимальная страховая выплата, которую вам вернут, если ваша страховая сумма составляет 50 000 долларов, составляет 50 рублей за 1 доллар США. Минимальная выплата составит 2 500 000 рублей.
                    Обратите внимание, что это минимальная выплата, которую вы получите. Фактическая сумма выплаты может варьироваться в зависимости от условий вашего договора.
        ","В соответствии с условиями страхования по «Программе страховой защиты заемщиков Банка 4.0», минимальная страховая выплата, которую Вы можете получить, если Ваша страховая сумма составляет 50 000 долларов, будет равна 20 000 рублей. Это связано с тем, что максимальное количество календарных дней, за которые производится страховая выплата в отношении каждого застрахованного лица по риску «Потеря работы» по каждому страховому случаю, составляет 91 календарный день. Таким образом, если Вы потеряете работу и Ваша страховая сумма составит 50 000 долларов, то максимальная страховая выплата, которую Вы можете получить, будет равна 20 000 рублей."
"При принятии пользовательских соглашений, кому еще попадают мои данные?","['\n                    5. Персональные данные     \n                        5.1.       Пользователь подтверждает, что с использованием Дистанционных каналов взаимодействия дает Страховщику, \n                        аффилированным лицам страховщика, Страховому агенту или Страховому брокеру, а также лицам, \n                        предоставляющим услуги по использованию их информационных возможностей для целей заключения договоров \n                        страхования, хранения документов, в том числе, облачных сервисов, серверов, программных продуктов, согласие на \n                        обработку его персональных данных с целью осуществления дистанционного взаимодействия с последними при \n                        использовании их Сайта и/или сайтов в сети Интернет или при помощи ПО Страховщика и в целях осуществления \n                        маркетинговых коммуникаций перечисленных лиц с Пользователем.  \n        ']","
                    Согласно пункту 5.1 пользовательского соглашения, ваши персональные данные могут быть переданы следующим сторонам:
                        • Аффилированные лица страховщика
                        • Страховой агент
                        • Страховой брокер
                        • Лица, предоставляющие услуги по использованию их информационных возможностей для целей заключения договоров страхования, хранения документов, в том числе облачных сервисов, серверов, программных продуктов
","Ваши данные могут быть переданы Страховым брокерам в целях, указанных в пользовательском соглашении. Пользователь подтверждает, что предоставленные им согласия на обработку персональных данных содержат все необходимые сведения, предусмотренные частью 4 статьи 9 Федерального закона от 27.07.2006 № 152-ФЗ «О персональных данных»."
